P(Deceptive) = -0.69314718056
P(Truthful) = -0.69314718056
P(Positive) = -0.69314718056
P(Negative) = -0.69314718056

Before smoothing
Words                   Deceptive     Truthful      Positive      Negative      
knicked                 1             0             0             1             
seston                  1             0             1             0             
foul                    4             2             0             6             
four                    24            32            25            31            
preface                 1             0             1             0             
canes                   0             1             0             1             
eligible                0             1             1             0             
reclean                 1             0             0             1             
lore                    0             1             1             0             
lord                    0             1             0             1             
shaving                 0             1             0             1             
wads                    0             1             0             1             
hdtv                    1             0             1             0             
yellow                  7             1             0             8             
fur                     1             0             0             1             
screaming               1             1             0             2             
hasselfree              0             1             1             0             
disturb                 4             7             1             10            
basics                  0             1             0             1             
wooden                  1             1             1             1             
clientele               0             3             0             3             
wednesday               0             2             0             2             
persisted               0             1             0             1             
shouting                1             0             0             1             
succession              0             1             0             1             
reliable                4             2             2             4             
specially               0             1             1             0             
tired                   33            12            14            31            
hanging                 2             3             0             5             
pubic                   1             0             0             1             
scraper                 1             0             1             0             
elegant                 34            11            36            9             
second                  16            43            16            43            
scraped                 0             1             0             1             
lucious                 1             0             1             0             
blouse                  1             0             0             1             
errors                  3             1             0             4             
relieving               1             0             1             0             
forgetting              1             0             1             0             
thunder                 0             1             0             1             
cooking                 3             3             3             3             
contributed             1             1             1             1             
bonuses                 2             0             1             1             
specialist              0             1             0             1             
insinuation             0             1             0             1             
leaning                 2             0             0             2             
here                    150           209           172           187           
reported                4             4             1             7             
china                   1             1             2             0             
terriable               1             0             0             1             
dorm                    0             1             0             1             
shriek                  1             0             0             1             
kids                    33            15            25            23            
elaborate               2             0             2             0             
unfriendly              12            6             0             18            
reports                 0             1             1             0             
military                1             0             0             1             
spotty                  1             0             0             1             
cancellation            3             7             0             10            
golden                  1             5             5             1             
explained               4             7             0             11            
replace                 1             7             1             7             
brought                 22            20            14            28            
scoffed                 1             0             0             1             
unit                    5             4             1             8             
dnd                     1             0             0             1             
dna                     1             1             0             2             
spoke                   3             10            2             11            
browse                  1             0             0             1             
music                   11            18            19            10            
therefore               1             3             2             2             
passport                0             1             0             1             
strike                  1             2             0             3             
until                   38            41            12            67            
expiring                0             1             0             1             
holy                    0             2             0             2             
relax                   25            3             19            9             
yahoo                   0             1             0             1             
hurt                    1             0             0             1             
glass                   10            15            7             18            
midst                   1             0             1             0             
hold                    5             13            0             18            
circumstances           0             4             0             4             
tastefully              1             5             6             0             
locked                  2             6             1             7             
accomplishment          0             1             0             1             
locker                  0             2             0             2             
flare                   1             0             1             0             
example                 3             3             2             4             
omelets                 0             1             1             0             
wand                    0             2             2             0             
hyatt                   40            36            30            46            
household               1             0             1             0             
organized               3             0             1             2             
suffocated              0             1             0             1             
currency                2             0             2             0             
caution                 0             1             0             1             
reviewing               1             1             1             1             
want                    76            63            58            81            
absolute                4             2             3             3             
preferably              1             0             0             1             
hob                     1             0             0             1             
groaned                 2             0             0             2             
complaining             6             4             0             10            
travel                  32            39            36            35            
damage                  1             2             0             3             
revisit                 3             0             1             2             
machine                 4             11            5             10            
how                     72            48            45            75            
hot                     29            34            20            43            
hop                     2             2             1             3             
terrycloth              0             1             1             0             
couldin                 0             1             0             1             
beauty                  5             1             5             1             
cuisine                 6             0             3             3             
pimps                   1             0             0             1             
wrong                   33            17            4             46            
beauti                  1             0             1             0             
extortion               1             0             0             1             
types                   1             4             4             1             
colorfully              0             1             1             0             
effective               1             1             1             1             
headquarters            0             2             0             2             
baggage                 3             0             0             3             
keeps                   1             2             1             2             
nonsensical             0             1             0             1             
wind                    1             2             2             1             
wine                    30            40            44            26            
feedback                0             2             0             2             
welcomed                2             4             5             1             
murals                  0             1             1             0             
rewarded                0             1             1             0             
welcomes                1             0             1             0             
californians            1             0             0             1             
fit                     9             8             9             8             
bringing                5             2             4             3             
fix                     18            13            1             30            
hidden                  2             1             1             2             
easier                  2             0             1             1             
duvet                   0             7             2             5             
slate                   1             0             1             0             
vouchers                0             3             2             1             
interrupt               1             0             1             0             
sixteen                 0             1             1             0             
silver                  1             0             1             0             
headboard               3             0             2             1             
represents              0             1             0             1             
haphazardly             1             0             0             1             
accomidations           2             0             0             2             
noticably               1             0             0             1             
noticable               1             0             0             1             
spotless                7             6             13            0             
dumpy                   0             2             0             2             
interfering             1             0             0             1             
whim                    1             1             1             1             
financial               2             0             2             0             
series                  2             1             0             3             
oohed                   1             0             0             1             
bowls                   1             0             1             0             
ameliorate              1             0             0             1             
message                 1             3             1             3             
misfortune              2             0             0             2             
touts                   1             0             0             1             
retuning                0             1             0             1             
smirk                   1             0             0             1             
rd                      1             17            8             10            
re                      31            49            24            56            
encourage               0             1             0             1             
rm                      0             2             0             2             
cheerfully              1             1             0             2             
disinterested           0             1             0             1             
assured                 12            7             2             17            
threatened              1             1             0             2             
fugitive                0             1             0             1             
assures                 0             1             0             1             
ian                     0             1             0             1             
grapes                  1             0             1             0             
checked                 79            66            37            108           
sensors                 0             2             0             2             
obstructing             0             1             1             0             
enormous                2             4             5             1             
ate                     8             13            15            6             
shelves                 0             1             0             1             
atm                     0             1             0             1             
satisfication           1             0             1             0             
uunfortunately          1             0             0             1             
shipped                 1             0             1             0             
musicians               3             1             2             2             
speedy                  2             0             1             1             
tempting                1             0             0             1             
reserving               1             0             0             1             
resetting               0             1             0             1             
speeds                  0             1             0             1             
ouevres                 0             1             1             0             
veggie                  1             0             1             0             
channels                2             5             0             7             
wash                    4             3             0             7             
customization           1             0             1             0             
wasn                    65            71            19            117           
bitten                  0             1             0             1             
olds                    0             2             2             0             
renovated               7             13            11            9             
service                 345           316           277           384           
similarly               0             2             0             2             
needed                  44            26            34            36            
grossness               1             0             0             1             
listed                  2             2             1             3             
legs                    1             1             0             2             
ranging                 1             0             0             1             
listen                  2             4             1             5             
danish                  0             1             0             1             
rewards                 2             1             1             2             
geneva                  2             0             1             1             
bacon                   0             2             2             0             
snooty                  7             1             1             7             
sofitel                 37            25            33            29            
showed                  8             11            5             14            
tree                    1             1             1             1             
rusty                   2             1             0             3             
shower                  48            84            41            91            
idle                    0             1             0             1             
exclaimed               0             1             0             1             
sheen                   1             0             0             1             
shampoos                1             0             1             0             
feeling                 15            12            18            9             
este                    0             1             1             0             
apri                    0             1             1             0             
picks                   1             1             2             0             
dozen                   2             4             1             5             
sterile                 0             1             0             1             
escalator               0             1             1             0             
person                  41            42            16            67            
responsible             1             0             0             1             
eagerly                 0             2             1             1             
metallic                0             1             1             0             
recommended             18            17            25            10            
defiantly               2             0             1             1             
doors                   9             22            9             22            
committing              0             1             0             1             
shall                   1             0             1             0             
thrilled                2             1             2             1             
wells                   0             1             0             1             
swiss                   1             0             1             0             
mouth                   4             3             2             5             
addict                  1             0             1             0             
letter                  3             6             1             8             
funriture               1             0             0             1             
episode                 1             1             0             2             
snooping                1             0             0             1             
camp                    1             0             0             1             
detectors               1             0             0             1             
drunks                  0             1             0             1             
tech                    2             3             2             3             
fiberfill               0             1             0             1             
scream                  1             0             0             1             
came                    75            66            39            102           
saying                  7             14            5             16            
departing               0             2             0             2             
insects                 1             2             0             3             
meetings                7             4             6             5             
tempted                 1             1             0             2             
cheaply                 1             0             0             1             
touches                 1             10            8             3             
busy                    13            15            13            15            
layout                  4             4             4             4             
quaint                  1             2             2             1             
menu                    19            13            15            17            
bust                    2             0             0             2             
than                    135           118           84            169           
fccla                   0             1             0             1             
theme                   1             5             4             2             
bliss                   1             0             1             0             
touched                 3             1             0             4             
rich                    6             0             4             2             
heartily                1             1             2             0             
rice                    0             2             0             2             
emphatically            1             0             1             0             
plate                   0             4             2             2             
freshening              1             0             0             1             
pocket                  2             0             0             2             
sniping                 0             1             0             1             
altogether              2             1             0             3             
net                     1             0             0             1             
nicely                  7             8             10            5             
dipping                 0             1             1             0             
boarded                 1             0             0             1             
require                 0             2             1             1             
respond                 0             4             1             3             
